5.800000000000000000e+01,4.310000000000000142e+01,6.910999999999999943e+01,8.957999999999999829e+01,9.740000000000000568e+01,9.969199999999999307e+01,9.992666666666667652e+01,9.998571428571428044e+01,9.999750000000000227e+01,1.000000000000000000e+02,1.000000000000000000e+02
8.199999999999999289e+00,2.848000000000000753e+01,4.978999999999999915e+01,7.110666666666665492e+01,8.794500000000000739e+01,9.618399999999999750e+01,9.914333333333334508e+01,9.970571428571427930e+01,9.993750000000001421e+01,9.997555555555555884e+01,9.999000000000000909e+01
7.400000000000000355e+00,1.985999999999999943e+01,3.904000000000000625e+01,5.796666666666666146e+01,7.528000000000000114e+01,8.954400000000001114e+01,9.654666666666665265e+01,9.887142857142858077e+01,9.965749999999999886e+01,9.990888888888888175e+01,9.999200000000000443e+01
3.000000000000000000e+00,1.497999999999999865e+01,3.260000000000000142e+01,4.899333333333333229e+01,6.590500000000000114e+01,8.170000000000000284e+01,9.181333333333333258e+01,9.690000000000000568e+01,9.892749999999999488e+01,9.960888888888889880e+01,9.986400000000000432e+01
1.399999999999999911e+00,1.225999999999999979e+01,2.905000000000000071e+01,4.439999999999999858e+01,5.806499999999999773e+01,7.446400000000001285e+01,8.785666666666666913e+01,9.451428571428570535e+01,9.817749999999998067e+01,9.918444444444443775e+01,9.972799999999999443e+01
1.600000000000000089e+00,1.054000000000000270e+01,2.508000000000000185e+01,3.935333333333333172e+01,5.362500000000000000e+01,6.901200000000000045e+01,8.246333333333333826e+01,9.224285714285714732e+01,9.699750000000000227e+01,9.882888888888888346e+01,9.948799999999999955e+01
1.600000000000000089e+00,8.919999999999998153e+00,2.313999999999999346e+01,3.622666666666667368e+01,5.122999999999999687e+01,6.529600000000000648e+01,7.892000000000000171e+01,8.937714285714287143e+01,9.501749999999999829e+01,9.817555555555557589e+01,9.917400000000000659e+01
1.199999999999999956e+00,8.500000000000000000e+00,2.178000000000000114e+01,3.418666666666666742e+01,4.831499999999999773e+01,6.337599999999999767e+01,7.646333333333333826e+01,8.764857142857142946e+01,9.452000000000001023e+01,9.752444444444445537e+01,9.898799999999999955e+01
8.000000000000000444e-01,9.039999999999997371e+00,2.125999999999999801e+01,3.378666666666666885e+01,4.718999999999999773e+01,6.191999999999999460e+01,7.530333333333332746e+01,8.668571428571429749e+01,9.364750000000000796e+01,9.743111111111110745e+01,9.917199999999999704e+01
3.399999999999999911e+00,8.240000000000000213e+00,2.008999999999999986e+01,3.367333333333333201e+01,4.681500000000000483e+01,6.085599999999999454e+01,7.502666666666667084e+01,8.560285714285713254e+01,9.371250000000000568e+01,9.744666666666667254e+01,9.894400000000000261e+01
